sep=,
"Location","Document URI","Text","Annotation","Contributor","Date"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","primus","316-317 spumat amor <Ov. met. 1,452> U","Lavinia Milic","21 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","primus","316-317 primus amor <Ov. met. 1,452> U","Lavinia Milic","21 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","spectant hilares obstantque magistri.","317 spectant hilares obstantque magistri <Verg. Aen. 12,717> <Ov. am. 2,12,26> U","Lavinia Milic","21 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","arrepto","318 arrepto tempore <Verg. Aen. 11,459> <Stta, Theb. 7,562> U","Lavinia Milic","21 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","simulare choros","319 simulare choros <Verg. Aen. 6,517> U","Lavinia Milic","21 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","gelida","320 gelida ossa <Stat. Theb. 5,261> U","Lavinia Milic","21 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","o","321-322 o alium Achillem <Verg. Aen. 4,328> <Verg. Aen. 6,89> <Verg. Aen. 2,540-541> U
<Stat. Theb. 12,348> U","Lavinia Milic","21 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","cogique volentem","325 cogique volentem <Ov. ars 1,664> <Ov. ars 698> U","Lavinia Milic","21 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","325","325-329 <Verg. Aen. 1,589-593> <Ov. met. 7,84> U topos de l'intervention divine d'une déesse pour embellir un héros (ici parodié car --> féminisation)","Lavinia Milic","21 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","colla rigentia ","326 colla rigentia <Stat. Theb. 6,482> U","Lavinia Milic","21 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","mpexos","328 impexos crines <Stat. Theb. 3,138> U","Lavinia Milic","21 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","picturato","330 picturato limbo <Verg. Aen. 4,137> <Stat. Theb. 6,367> U","Lavinia Milic","21 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","qualiter artifici","332-334 <Ov. met. 247-251> <Verg. Aen. 1,592-593> U","Lavinia Milic","21 May 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","victurae","332 victurae <Verg. Aen. 6,848> U vivos ducent de marmore vultus (réf. aux statues de marbre qui semblent de vraies presonnes)","Lavinia Milic","21 May 2015"
