sep=,
"Location","Document URI","Text","Annotation","Contributor","Date"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml"," pollice chordas","187 pollice chordas <Ov. met. 5,339> <Ov. met. 10,145> <Ov. am. 2,4,27> U (sans commentaire) ","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","fila movet","187 fila movet pollice <Ov. ars 2,494> U Apollon joueur de cithare <Ov. met. 10,89> U Orphée","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","fila movet","187 fila movet pollice <Ov. ars 2,494> U Apollon joueur de cithare","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","solantia curas","186 solantia curas <Stat. Theb. 9,603> U","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml"," chelyn","185 chelys <Ov. her. 15,181> U","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","lyre","Le motif de l'éducation musicale donnée à Achille par Chiron était répandu, cf. p. ex. Ov. ars 1,11-12","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","Baccheaque munera","184 Baccheaque munera <Ov. ars 1,563> <Ov. rem. 803> <Ov. met. 4,765> <Ov. met. 12,578> <Ov. met. 13,639> U","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml"," libare","184 libare Bacchea <Verg. Aen. 3,354> <Verg. Aen. 5,77> U","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","libare dapes","184 libare dapes <Verg. Aen. 3,301> <Verg. Aen. 5,92> U","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml"," angunt sua gaudia matrem.","183  angunt sua gaudia matrem <Verg. Aen. 1,502> U idée opposée (Latone jouit de la prestance de son fils)","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","pectora mulcens","182 pectora mulcens <Verg. Aen. 1, 197> <Verg. Aen. 1, 153> <Ov. her. 18,27> U mais toujours au sens figuré","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","spruces him up","Motif de peigner son propre fils, cf. Ov. her. 21,88; Stat. Theb. 9,902 (Atalante qui prend soin de Parthénopée) et plus trad Ach. 1,338, 343, 348.","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","anhelo","181-182 anhelo equo <Verg. Aen. 5,739 > U <Ov. met. 4,633-634>  U même place métrique mais pluriel <Ov. met. 15,418-419> U même place métrique mais pluriel","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","crinem","179-180 crinem fontibus <Stat. Theb. 3,407-409> U Apollon  au coucher du soleil immerge ses cheveux dans la mer","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","fumantis","179 fumantis <Ov. met. 2,323-324> U Fetonte <Stat. Theb. 12,413-414> U il récupère l'image d'Ovide","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","quae proxima saltu flumina","178-179 quae proxima saltu flumina <Verg. Aen. 1,157> U quae prixima litora, cursu","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml"," subit","178 subit saltu <Stat. Theb. 4,143-144> U ","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","Eurotae qualis","180 Eurotae qualis <Verg. Aen. 4,198> U <Ov. am. 1,10,1> U contexte difflérent (référence au rapt d'Hélène)","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","aevique modis","176 aevi modis <Stat. Theb. 7,296-297> U sens différent","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml"," magno","174 magno amore <Verg. Aen. 9,197-198> U même enjambement du nom (Patroclus/Euryalus) mais sens différent (in Verg. amour de gloire)","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","vacuis","169 vacuis antris <Stat. Theb. 10,86-87> U","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","sub rupe leaenam","168 sub rupe leaenam <Verg. Aen. 8,295> U","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","gaudia formae","167 gaudia formae <Ov. met. 14,653> U","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","o quantum","167 o quantum <Ov. ars 3,159> U","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","qualis Lycia","165 qualis Lycia Apollo <Verg. Aen. 4,143-150> U Enée qui part chasser est comparé à Apollon qui revient de la chasse en Lycie et joue de la lyre","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml"," qualis","165 qualis Apollo < Stat. Theb. 1,696-697> U < Stat. Theb. 1,703-704> U < Stat. Theb. 1,709> U  ","Lavinia Milic","23 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","plurima vultu 165mater inest","164-165 plurima vultu mater inest <Stat. Theb. 4,336-337> U Parthénopée U ad. v. ""Generalmente, in un giovane, era piu comune notare la somiglianza col padre...; ma somigliare alla madre è indizio di giovane età"".","Lavinia Milic","17 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","faces oculis","164 faces oculi <Stat. Theb. 5,508> U livida fax oculi un serpent ?
<Stat. Theb. 6,396> U des chevaux ?","Lavinia Milic","17 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","prima","163 prima lanugine <Verg. Aen. 10,324> U <Ov. met. 12,291> U","Lavinia Milic","17 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","prima","163 prima aetas <Stat. Theb. 6,252> U","Lavinia Milic","17 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","necdum prima nova lanugine vertitur aetas","163 necdum prima nova lanugine vertitur aetas <Stat. Theb. 9,703> Parthénopée","Lavinia Milic","17 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml"," coma gratior auro","162  coma gratior auro <Ov. met. 15,316> U similesfaciunt auroque capillos","Lavinia Milic","17 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","necdum prima nova lanugine vertitur aetas,","163 necdum prima nova lanugine vertitur aetas <Stat. Theb. 4,335-337> U Parthénopée pas d'intertextualité verbale stricte (vultus, ore, umbra genis, aevum)","Lavinia Milic","17 Mar 2015"
