sep=,
"Location","Document URI","Text","Annotation","Contributor","Date"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","regina","295-296 regina chori
<Stat. Theb. 4, 379>N
<Verg. Aen. 6, 28>N","Kevin Udrisard","19 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","regina","295-296 regina chori
<Stat. Theb. 4, 379>N
<Verg. Aen. 6, 28>N","Kevin Udrisard","19 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","dare veris","288 dare veris <ov. rem. 187> T","J. Sturzinger","19 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","spargere floribus","288 spargere floribus <Stat. Theb. 5, 580 > D","Dahan Diane","19 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","virginitas","292 virginitas annique <Stat. Theb. 5, 82> <Verg. Aen. 7, 53> RS","Mélissande Tomcik","19 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","roseo","298 roseo vultu
<Stat. Ach. 1, 161>N","Kevin Udrisard","19 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","roseo","298 roseo vultu
<Stat. Ach. 1, 161>N","Kevin Udrisard","19 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","virginitas","292 virgintas matura toris annique tumentes <Stat. Theb. 5, 82> D","Dahan Diane","19 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","lux","","Kevin Udrisard","19 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","lux","","Kevin Udrisard","19 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml"," pectoris angues","299 pectoris angues
<Stat. Theb. 8, 518>N","Kevin Udrisard","19 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml"," pectoris angues","299 pectoris angues
<Stat. Theb. 8, 518>N","Kevin Udrisard","19 Mar 2015"
