sep=,
"Location","Document URI","Text","Annotation","Contributor","Date"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","sudare parumper","17 sudare parumper pulvere <stat. theb. 1, 422> ?
<stat. ach. 1, 159>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","sudare parumper","17 sudare parumper pulvere <stat. theb. 1, 422> ?
<stat. ach. 1, 159>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","sudare parumper","17 sudare parumper pulvere <stat. theb. 1, 422> ?
<stat. ach. 1, 159>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","sudare parumper","17 sudare parumper pulvere <stat. theb. 1, 422> ?
<stat. ach. 1, 159>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","At tu","14 At tu <Stat. Theb. 1,22-33> R-S ","Lavinia Milic","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","olim","16 olim 
<Stat. Theb. 1, 312>U
<Stat. Theb. 6, 387>U
<Stat. Theb. 7, 304>U
<Stat. Theb. 7, 779>U
<Stat. Theb. 10, 362>U
<Stat. Ach. 1, 312> U
<Ov. ars. 2, 125> U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Itala virtus","14 Itala uirtus < Verg. Aen. XII, 827 > ? R-S","Lavinia Milic","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <stat. theb. 5, 620> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <stat. theb. 5, 620> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <stat. theb. 5, 620> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <stat. theb. 5, 620> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <stat. theb. 5, 620> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <stat. theb. 5, 620> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <stat. theb. 5, 620> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <stat. theb. 5, 620> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <stat. theb. 5, 620> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tu","14 at tu Itala <Stat. Theb. 1, 17-22> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tu","14 at tu Itala <Stat. Theb. 1, 17-22> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tu","14 at tu Itala <Stat. Theb. 1, 17-22> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tu","14 at tu Itala <Stat. Theb. 1, 17-22> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tu","14 at tu Itala <Stat. Theb. 1, 17-22> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tu","14 at tu Itala <Stat. Theb. 1, 17-22> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tu","14 at tu Itala <Stat. Theb. 1, 17-22> D","Mélissande Tomcik","26 Feb 2015"
