sep=,
"Location","Document URI","Text","Annotation","Contributor","Date"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","fert Bellona nurum","34 fert Bellona nurum <verg. aen. 7, 317-322> N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","molimur","19 molimur 
<Verg. Aen. 3, 5-6>U
<Ov. ars. 1, 266>U
<Ov. ars. 1, 537>U
<Stat. Theb. 4, 34-37>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","mille carinis","34 mille carinis <verg. aen. 2, 198> ? <verg. aen. 9, 148> ? <ov. met. 12, 37> ? <ov. met. 13, 182> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","ni fallor","40 ni fallor <stat. theb. 2, 656> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tibi praeludit","19 tibi praeludit
<Stat. Theb. 6, 3-4>U
<Verg. Aen. 6, 1>U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Itala virtus","14 Itala virtus <Verg. Aen. 12, 827>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","Oebalio","20 Oebalio de litore
<Ov. Her. 16, 128>U
<Ov. rem. 458>U
<Ov. Met. 13, 396>U
<Ov. Met. 10, 162-195>U
<Stat. Theb. 2, 164>U
<Stat. Theb. 6, 822>U
<Stat. Theb. 8, 429>U
<Stat. Theb. 9, 690>U
<Stat. Theb. 10, 503>U
<Stat. Ach. 2, 154>U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","da veniam ","17 da veniam <stat. theb. 11, 710>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","pastor
Dardanus","20-21 pastor Dardanus 
<Stat. Ach. 2, 51>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","sudare parumper","17 sudare parumper pulvere <stat. theb. 1, 422> ?
<stat. ach. 1, 159>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","incautas","21 incautas Amyclas
<Ov. ars. 2, 3-6>U
<Ov. ars 2, 359-373>U
<Verg. Aen. 10, 564>U
","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <stat. theb. 5, 620> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","signa","109 signa <Ov. met. 12, 125>T lien thématique","Kevin Udrisard","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml"," turba comitante","27 turba camitante <ov. met. 6, 594> ? N
","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","signa tamen","109 signa tamen <Ov. met. 12, 125>T <Ov. met. 14, 433>T lien thématique","Kevin Udrisard","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml"," aëra ponto","30 aera ponto <ov. met. 1, 337> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","Protea","32 protea <ov. met. 11, 221-223> N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","locum monstrantur; at","110 locum monstrantur ; at <Ov. met. 4, 174>T lien thématique et syntaxique et lexical","Kevin Udrisard","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","fert Bellona nurum","34 fert Bellona nurum <verg. aen. 7, 317-322> N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","alta patent,","111 alta patent <Ov. met. 10, 110>T sens général commun (les cornes du cerf sont ouvertes ""cornibus patentibus"" et la grotte de l'Achilléide correspond à la profondeur de l'ombre ""altas umbras""","Kevin Udrisard","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Itala virtus","14 Itala virtus <Verg. Aen. 12, 827>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","mille carinis","34 mille carinis <verg. aen. 2, 198> ? <verg. aen. 9, 148> ? <ov. met. 12, 37> ? <ov. met. 13, 182> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","da veniam ","17 da veniam <stat. theb. 11, 710>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","cum visa","121 cum visa <Ov. met. 4, 316>T Chez Ovide une jeune fille aperçoit un jeune homme et veut l'avoir (elle s'élance), comme Chiron qui s'élance pour accueillir Thétis","Kevin Udrisard","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","ni fallor","40 ni fallor <stat. theb. 2, 656> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","sudare parumper","17 sudare parumper pulvere <stat. theb. 1, 422> ?
<stat. ach. 1, 159>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","Nereis","122 Nereis silvis <Ov. met. 1, 302>T lien thématique, mêmes personnages, même idée","Kevin Udrisard","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <stat. theb. 5, 620> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","virtus","14 uirtus <Verg. Aen. 10, 410>","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","lustrat","126 lustrat omnia visu <Ov. met. 7, 235>T lien thématique : idée de parcourir tout du regard","Kevin Udrisard","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml"," turba comitante","27 turba camitante <ov. met. 6, 594> ? N
","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Itala virtus","14 Itala uirtus <Verg. Aen. 12, 827> U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","Carpathius vates","136 Carathius vates <Ov. met. 11, 249>T même personnage","Kevin Udrisard","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml"," aëra ponto","30 aera ponto <ov. met. 1, 337> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","vera fatebor","146 vera fatebor <Ov. met. 7, 728>T
<Ov. met. 15, 773>T 
même interjection, même contexte","Kevin Udrisard","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Itala virtus","14 Itala virtus <Verg. Aen. 12, 827>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","da veniam ","17 da veniam <stat. theb. 11, 710>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","sudare parumper","17 sudare parumper pulvere <stat. theb. 1, 422> ?
<stat. ach. 1, 159>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <stat. theb. 5, 620> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml"," turba comitante","27 turba camitante <ov. met. 6, 594> ? N
","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml"," aëra ponto","30 aera ponto <ov. met. 1, 337> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","Protea","32 protea <ov. met. 11, 221-223> N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","fert Bellona nurum","34 fert Bellona nurum <verg. aen. 7, 317-322> N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Itala virtus","14 Itala virtus <Verg. Aen. 12, 827>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","mille carinis","34 mille carinis <verg. aen. 2, 198> ? <verg. aen. 9, 148> ? <ov. met. 12, 37> ? <ov. met. 13, 182> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","da veniam ","17 da veniam <stat. theb. 11, 710>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","ni fallor","40 ni fallor <stat. theb. 2, 656> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","sudare parumper","17 sudare parumper pulvere <stat. theb. 1, 422> ?
<stat. ach. 1, 159>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","Itala virtus","14 Itala virtus <Verg. Aen. 12, 827>","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","virtus","14 uirtus <Verg. Aen. 10, 410>","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <stat. theb. 5, 620> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml"," turba comitante","27 turba camitante <ov. met. 6, 594> ? N
","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml"," aëra ponto","30 aera ponto <ov. met. 1, 337> ? N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","cum visa procul de litore surgens","121 cum uisa procul de litore surgens <Ov. Her. 10.17> ?","Floriane Goy","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","mea pignora","127 mea pignora <Ov. Her. 6.129> femme qui craint la mort de ses enfants","Floriane Goy","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","quaeso","144-145 quaeso, duc, ganterais, humilie deos infringe precatu <Ov. Her. 4.149> T ?","Floriane Goy","05 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","tu","14 at tu Itala <Stat. Theb. 1, 17-22> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml"," Itala virtus","14 Itala virtus <Verg. Aen. 12, 827>D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","praesagia somni","22 praesagia somni <Stat. Theb. 5, 620>D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","culpatum","23 culpatum <Verg. Aen. 2, 602> D; <Stat. Theb. 3, 702> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","fervent","28 fervent <Verg. Aen. 4, 409> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","non explicat","28 non explicat <Stat. Theb. 1, 146> D","Mélissande Tomcik","26 Feb 2015"
