sep=,
"Location","Document URI","Text","Annotation","Contributor","Date"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","fervent","28 fervent <Verg. Aen. 4, 409> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","fervent","28 fervent <Verg. Aen. 4, 409> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","Protea","32 protea <ov. met. 11, 221-223> N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","Protea","32 protea <ov. met. 11, 221-223> N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","Protea","32 protea <ov. met. 11, 221-223> N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","Protea","32 protea <ov. met. 11, 221-223> N","J. Sturzinger","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.313.xml","magnusque","19 magnus Achilles 
<Verg. Aen. 11, 438>U
<Ov. am. 1, 9, 33>U
<Ov. ars. 2, 711>U
<Ov. Met. 8, 309>U
<Ov. Met. 12, 163>U
<Ov. Met. 12, 615>U
<Ov. Met. 13, 30>U
<Ov. Met. 13, 133-134>U
<Ov. Met. 11, 265>U
<Stat. Ach. 1, 513>U","Kevin Udrisard","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","non explicat","28 non explicat <Stat. Theb. 1, 146> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","non explicat","28 non explicat <Stat. Theb. 1, 146> D","Mélissande Tomcik","26 Feb 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.315.xml","non explicat","28 non explicat <Stat. Theb. 1, 146> D","Mélissande Tomcik","26 Feb 2015"
