sep=,
"Location","Document URI","Text","Annotation","Contributor","Date"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.341.xml","cervice reflexa","382 cervice reflexa
<Verg. Aen. 6, 475>U
<Stat. Theb. 4, 91>U
<Verg. Aen. 8, 633>U
<Ov. ars. 3, 779>U
<Verg. Aen. 10, 535-536>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.341.xml","blandis","383 blandis...votis
<Ov. am. 2, 11, 54>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","domat ordine crines","328 domat ... crines <verg. aen. 1, 590>
<ov. met. 7, 84> RS","J. Sturzinger","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","domat ordine crines","328 domat ... crines <verg. aen. 1, 590>
<ov. met. 7, 84> RS","J. Sturzinger","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.341.xml","magnae","384 magnae...curae
<Stat. Theb. 2, 338>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","certo","328 certo ... ordine <Stat. Theb. 1,302> certo reliqua ordine ducum N
","Chris Forstall","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.343.xml"," te longus honos aeternaque cingent
templa","387-388 te longus honos aeternaque cingent templa
<Stat. Theb. 12, 335>U
","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.343.xml","iurandaque nautis
insula","391-392 iurandaque nautis insula
<Ov. met. 2, 45-46>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.339.xml"," tenui","337 tenui discrimine <Verg. Aen. 10, 511> T","Mélissande Tomcik","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.343.xml","Hic thiasi tantum","393 hic thiasi tantum
<Verg. Aen. 7, 580>U
<Stat. Ach. 1, 827>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.343.xml","utile bellis:”","393 utile bellis
<Stat. Theb. 6, 552>U
<Stat. Theb. 7, 66>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.343.xml","cedo equidem","396 cedo equidem
<Verg. Aen. 2, 704>U
<Verg. Aen. 12, 818>U
<Stat. Theb. 7, 178>U
<Stat. Theb. 8, 516>U
<Stat. Theb. 12, 77>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","picturato","330 picturato ... limbo <Stat. Theb. 6,367> <Verg. Aen. 4,137> <Ov. met. 10,593> N
","Chris Forstall","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","falsi sub imagine sexus","560 falsi sub imagine sexus
<Ov. met. 7. 360>N
","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","falsi sub imagine sexus","560 falsi sub imagine sexus
<Ov. met. 7. 360>N
","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","falsi sub imagine sexus","560 falsi sub imagine sexus
<Ov. met. 7. 360>N
","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","conscia culpae","562 conscia culpae
<Ov. her. 7.191>N
<Ov. met. 2.593>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","conscia culpae","562 conscia culpae
<Ov. her. 7.191>N
<Ov. met. 2.593>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","conscia culpae","562 conscia culpae
<Ov. her. 7.191>N
<Ov. met. 2.593>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","nil tale timenti","567 nil tale timenti
<Ov. met. 8.439>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","nil tale timenti","567 nil tale timenti
<Ov. met. 8.439>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","nil tale timenti","567 nil tale timenti
<Ov. met. 8.439>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","falsi sub imagine sexus","560 falsi sub imagine sexus <Ov. met. 3, 250><Ov. met. 7, 360> RS","Mélissande Tomcik","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","lateri","570 lateri...inhaeret
<Ov. ars. 1.493-494>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","lateri","570 lateri...inhaeret
<Ov. ars. 1.493-494>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","lateri","570 lateri...inhaeret
<Ov. ars. 1.493-494>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","Aeaciden furto iam noverat","561-562 Aeciden furto iam noverat ... Deidamia virum <Ov. ars. 1, 696>RS","Mélissande Tomcik","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","thyrso parcente","572 thyrso parcente
<Stat. Theb. 3.130>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","thyrso parcente","572 thyrso parcente
<Stat. Theb. 3.130>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","thyrso parcente","572 thyrso parcente
<Stat. Theb. 3.130>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","sic sub matre Rhea iuvenis regnator Olympi","vv. 588 sqq. <stat. theb. 10, 61-64> D","J. Sturzinger","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","cuncta pavet","563 cuncta pavet <Verg. Aen. 4, 298>RS","Mélissande Tomcik","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","fila lyrae","573 fila lyrae
<Ov. am. 1.8.60>N
<Ov. ars. 2.294>N
<Ov. met. 5.118>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","fila lyrae","573 fila lyrae
<Ov. am. 1.8.60>N
<Ov. ars. 2.294>N
<Ov. met. 5.118>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","fila lyrae","573 fila lyrae
<Ov. am. 1.8.60>N
<Ov. ars. 2.294>N
<Ov. met. 5.118>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","illam oculis iterumque iterumque resumit","569 illam oculis iterumque iterumque resumit <Ov. ars. 1, 571> RS","Mélissande Tomcik","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.359.xml","exploratque aditus","v. 601 exploratque aditus <stat. theb. 2, 370>
<stat. ach. 1, 736> D","J. Sturzinger","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","lateri non evitantis inhaeret","570 lateri non evitantis inhaeret <Ov. ars. 1, 140> <Ov. ars. 1, 494> RS","Mélissande Tomcik","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","occupat ora","575 occupat ora
<Verg. Aen. 4.499>N
<Verg. Aen. 10.699>N
<Verg. Aen. 12.300>N
<Stat. Theb. 10.625>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","occupat ora","575 occupat ora
<Verg. Aen. 4.499>N
<Verg. Aen. 10.699>N
<Verg. Aen. 12.300>N
<Stat. Theb. 10.625>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","occupat ora","575 occupat ora
<Verg. Aen. 4.499>N
<Verg. Aen. 10.699>N
<Verg. Aen. 12.300>N
<Stat. Theb. 10.625>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.355.xml","nil tale timenti","567 nil tale timenti <ov. her. 17.233> Tale nihil timeo T [alt. timeam]","Chris Forstall","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","rudes","581 rudes...lanas
<Ov. ars. 2.220>N
","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","rudes","581 rudes...lanas
<Ov. ars. 2.220>N
","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","rudes","581 rudes...lanas
<Ov. ars. 2.220>N
","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","intempestivus","585 intempestivus
<Stat. Theb. 11.726>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","intempestivus","585 intempestivus
<Stat. Theb. 11.726>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","intempestivus","585 intempestivus
<Stat. Theb. 11.726>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","infringit","575-576 infringit citharae nunc occupat ora canentis et ligat amplexus et mille per oscula laudat <Ov. met. 2, 430> <Ov. met. 9, 458-459> <Ov. met. 14, 658> RS","Mélissande Tomcik","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","prohibetque fateri","587 prohibetque fateri
<Stat. Theb. 7.423>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","prohibetque fateri","587 prohibetque fateri
<Stat. Theb. 7.423>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","prohibetque fateri","587 prohibetque fateri
<Stat. Theb. 7.423>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","sic","588-589 sic...oscula...dabat insidiosa
<Stat. Theb. 10.49-69>N
","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","sic","588-589 sic...oscula...dabat insidiosa
<Stat. Theb. 10.49-69>N
","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","sic","588-589 sic...oscula...dabat insidiosa
<Stat. Theb. 10.49-69>N
","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","regnator Olympi","588 regnator Olympi
<Stat. Theb. 8.41>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","regnator Olympi","588 regnator Olympi
<Stat. Theb. 8.41>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","regnator Olympi","588 regnator Olympi
<Stat. Theb. 8.41>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","lucus","593-594 lucus...stabat
<Verg. Aen. 1.441>N
<Verg. Aen. 9.86>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","lucus","593-594 lucus...stabat
<Verg. Aen. 1.441>N
<Verg. Aen. 9.86>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","lucus","593-594 lucus...stabat
<Verg. Aen. 1.441>N
<Verg. Aen. 9.86>N","Kevin Udrisard","23 Apr 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.357.xml","discit","577-579 <Ov. met. 14, 678> <Verg. Aen. 1, 748-752> RS","Mélissande Tomcik","23 Apr 2015"
