sep=,
"Location","Document URI","Text","Annotation","Contributor","Date"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","sacrarit","109 sacrarit <Stat. Theb. 4,162-164> parvo ... ostenditur arvo, robur ubi et laxos qua reclinaverit artus ilice, qua cubiti sedeant vestigia terra D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","accubitu","110 accubitu <Stat. Theb. 1,714> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","Centauri stabula","111 Centauri stabula <Verg. Aen. 6,286> centauri in foribus stabulant D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","cruores","112 cruores <Verg. Aen. 4,687> <Stat. Theb. 6,102> <Stat. Theb. 8,405> <Stat. Theb. 12,595> <Stat. Theb. 12,719> D [poetic plural]","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","orni","113-114 orni ... crateres <Stat. Theb. 2,564> <Stat. Theb. 6,537> (etc) D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","inania terga","115 inania terga ferarum <Stat. Theb. 1,483> inanem ... leonem <Stat. Theb. 6,722> tigrin inanem <Stat. Theb. 7,276> vacua ora leonum <Stat. Theb. 9,589> vacuorum terga leonum D <Stat. Ach. 1,415> terga ferarum <Verg. Aen. 7,20> terga ferarum D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","nosse salutiferas dubiis animantibus herbas,","117 <Stat. Ach. 2,159-162> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","dubiis","117 dubiis <Ov. Her. 20,199> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.321.xml","animantibus","117 animantibus <Stat. Theb. 1,501> <Stat. Theb. 3,552> <Stat. Theb. 11,465> <Stat. Theb. 12,503> animantibus aegris D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","notaque desueto crepuit senis ungula campo","123 <Verg. Aen. 8,596> quadrupedante putrem sonitu quatit ungula campum (rhythym match) <Stat. Theb. 6,401> <Stat. Theb 6.459> <Stat. Theb. 12,656> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","desueto","123 desueto <Verg. Aen. 2,509> arma ... desueta D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","imos demissus in armos","124 imos demissus in armos <Stat. Theb. 1,518> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","admonet","125 admonet <Stat. Theb. 8,35-6> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","inducit ","125 inducit <Stat. Theb 2,200> <Stat. Theb. 12,326> <Stat. Theb. 12,464-5> <Stat. Ach. 1,548> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","inania","133-4 inania ... Tartara <Ov. met. 11,670> <Ov. met. 12,523-4> <Stat. Theb. 9,654-5> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","hos abolere metus","135-6 hos aboluere metus ... iubet ... Carpathius vates <Verg. Aen. 4,497-8> abolere nefandi cuncta viri monumenta iuvat D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","magici","135 magici <Verg. Aen. 4,493> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","sacri","135 sacri <Verg. Aen. 4,500> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","litora summa","137-8 litora summa Oceani <Verg. Aen. 4,480-1> finem Oceani ... ultimus ... locus D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","Carpathius vates","136 Carpathius vates <Ov. met. 11,249> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","sub axe peracto","136 sub axe peracto <Verg. Aen. 4,480> Oceani finem iuxta solemque cadentem D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","sub axe peracto","136 sub axe peracto <Stat. Theb. 5,180> perfecto sole D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","longum","140 longum <Stat. Ach. 2,43> <Stat. Theb. 2,163> longum enumerare D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","magis","141 magis <Stat. Theb. 4,543> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","neque enim ille dedisset","141 neque enim ille dedisset <Stat. Theb. 1,578-9> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","tegmina foeda","142 tegmina foeda <Stat. Ach. 1,652-3> foeda ... tegmina D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","nec me patria omina fallunt","147 patria omnia <Stat. Theb. 9,662> nec te de dubiis fraterna oracula fallunt D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","vis festina","148 vis festina <Stat. Theb. 9,716> festina ... virtus D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","tenues","148 tenuesque <Stat. Theb. 4,512> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","non","151 non capit <Verg. Aen. 9,644> nec te Troia capit D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","Argoos pinus cum Thessala reges
hac veheret","156-7 <Stat. Theb. 3,517-19> prima cum pube virentem semideos inter pinus me Thessala reges duceret D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","sed taceo","158 sed taceo <Stat. Theb 4,517> sed taceo D","Chris Forstall","15 Mar 2015"
