sep=,
"Location","Document URI","Text","Annotation","Contributor","Date"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","purpura ","297 purpura <verg. aen. 7, 251>
<stat. theb. 12, 315> contexte royal
associée à l'or: <verg. aen. 5, 251>?
<stat. theb. 10, 60> RS
","J. Sturzinger","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","colla rigentia","326-327 colla rigentia...graves umeros 
<Stat. Theb. 6, 482>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","colla rigentia","326-327 colla rigentia...graves umeros 
<Stat. Theb. 6, 482>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","impexos","328 impexos crines
<Stat. Theb. 3, 138>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","impexos","328 impexos crines
<Stat. Theb. 3, 138>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.341.xml","contingere gaudent","317 contigere gaudent <Verg. Aen. 1, 239> T","Mélissande Tomcik","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","arrepto","318 arrepto ... tempore <Verg. Aen. 11,459> Immo ait, o cives, arrepto tempore Turnus. N","Chris Forstall","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","sua dilecta","329 sua dilecta monilia transfert
<Stat. Ach. 1, 929-930>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","sua dilecta","329 sua dilecta monilia transfert
<Stat. Ach. 1, 929-930>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","deae","299 deae <stat. theb. 1, 535>
<stat. theb. 2, 237>
<stat. ach. 1, 825-826> RS","J. Sturzinger","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","picturato","330 picturato limbo
<Verg. Aen. 4, 137>U
<ov. met. 10, 593>U
<Stat. Theb. 6, 367>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","picturato","330 picturato limbo
<Verg. Aen. 4, 137>U
<ov. met. 10, 593>U
<Stat. Theb. 6, 367>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","pectoris angues","299 pectoris angues <stat theb. 8, 518> ?  RS","J. Sturzinger","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","victurae","332 victurae
référence sématique :
<Verg. Aen. 6, 848>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","victurae","332 victurae
référence sématique :
<Verg. Aen. 6, 848>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.343.xml","cedo equidem","396 cedo equidem <Verg. Aen. 2, 704> T","Mélissande Tomcik","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","pollice cerae","332 pollice cerae
<Ov. met. 8, 198-199>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","pollice cerae","332 pollice cerae
<Ov. met. 8, 198-199>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.337.xml","gelida","320 gelida .. ossa <Stat. Theb, 5,261-2> N
","Chris Forstall","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","casside vultus","300 casside vultus <stat. theb. 9, 541>
<stat. theb. 9, 879>
<stat. theb. 11, 408> RS","J. Sturzinger","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","casside vultus","300 casside vultus <stat. theb. 9, 541>
<stat. theb. 9, 879>
<stat. theb. 11, 408> RS","J. Sturzinger","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.339.xml","nec luctata diu","335 nec luctata diu
<Ov. met. 7, 1>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.339.xml","nec luctata diu","335 nec luctata diu
<Ov. met. 7, 1>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.339.xml","nec luctata diu","335 nec luctata diu
<Ov. met. 7, 1>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.339.xml","nec luctata diu","335 nec luctata diu
<Ov. met. 7, 1>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.339.xml","superest nam plurimus","335-336 superset nam pluribus ...decor
référence sémantique :
<Stat. Theb. 10, 643>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.339.xml","superest nam plurimus","335-336 superset nam pluribus ...decor
référence sémantique :
<Stat. Theb. 10, 643>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","hanc ubi ducentem longe socia agmina vidit","301 hanc ubi ducentem longe socia agmina vidit <verg. aen. 10, 721> vers quasiment indentique RS","J. Sturzinger","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.335.xml","hanc ubi ducentem longe socia agmina vidit","301 hanc ubi ducentem longe socia agmina vidit <verg. aen. 10, 721> vers quasiment indentique RS","J. Sturzinger","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.339.xml","Sic ergo gradum","339-340 sic ergo gradum...feres
référence sémantique : <Verg. Aen. 3, 490>U","Kevin Udrisard","26 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.339.xml","Sic ergo gradum","339-340 sic ergo gradum...feres
référence sémantique : <Verg. Aen. 3, 490>U","Kevin Udrisard","26 Mar 2015"
