sep=,
"Location","Document URI","Text","Annotation","Contributor","Date"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.323.xml","tegmina foeda","142 tegmina foeda <Stat. Ach. 1,652-3> foeda ... tegmina D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","nec me patria omina fallunt","147 patria omnia <Stat. Theb. 9,662> nec te de dubiis fraterna oracula fallunt D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","vis festina","148 vis festina <Stat. Theb. 9,716> festina ... virtus D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","tenues","148 tenuesque <Stat. Theb. 4,512> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","non","151 non capit <Verg. Aen. 9,644> nec te Troia capit D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","Argoos pinus cum Thessala reges
hac veheret","156-7 <Stat. Theb. 3,517-19> prima cum pube virentem semideos inter pinus me Thessala reges duceret D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","sed taceo","158 sed taceo <Stat. Theb 4,517> sed taceo D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","gelidus","158 gelidus ... pallor <Verg. Aen. 2,120-1> <Verg. Aen. 6,54-5> <Verg. Aen. 12,447-8> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","sudore","159 sudore et pulvere <Stat. Theb. 9,710> D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","tranquillaeque faces oculis ","164 tranquillaeque faces oculis <Stat. Theb. 5,508> livida fax oculis <Stat. Theb. 6,396> face lumina surgunt D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","qualis Lycia venator Apollo
cum redit et saevis permutat plectra pharetris.","165-6 <Verg. Aen. 4,143-5> qualis ubi hibernam Lyciam ... desert ac Delum maternam invisit Apollo instauratque choros D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","gaudia formae","167 gaudia formae <Stat. Ach. 1,122> dant gaudia vires D","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.325.xml","Pholoës sub rupe leaenam","168 Pholoes sub rupe leaenam <Verg. Aen. 3,295> vastum Nemeae sub rupe leonem","Chris Forstall","15 Mar 2015"
"STATIUS, Achilleid","/statius-achilleid/2004/pb_LCL498.327.xml","fido","171 fido ... in limine <Stat. Ach. 1,751> virginibus qua fida domus <Stat. Theb. 9,321> in gurgite fido <Stat. Theb. 10,318> subter igua fida D","Chris Forstall","15 Mar 2015"
