"Location"	"Document.URI"	"Text"	"Annotation"	"Contributor"	"Date"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.317.xml"	"arduus"	"57 arduus <Stat. Theb. 9,418-419> D U Ismenus <Stat. Theb. 5,706-707> U Neptune <Stat. Theb. 1,201-202> U Jupiter"	"Lavinia Milic"	"02 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.317.xml"	"spumiferos"	"59 spumiferos <Stat. Theb. 5,56> <Stat.Theb. 9,438> D R-S U pas attesté avant"	"Lavinia Milic"	"02 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.317.xml"	"furto "	"66 furto <Stat. Theb. 1,313> <Stat. Theb. 3,164> <Stat. Theb. 8,61> <Stat. Theb. 9,133> <Stat. Theb. 11,758> D valeur quasi-adverbiale"	"Lavinia Milic"	"02 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.317.xml"	"gemitus"	"68 gemitus daturus <Stat. Theb. 6,197> <Stat. Theb. 6,527> D"	"Lavinia Milic"	"02 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.319.xml"	"semideos"	"71 semideos <Stat. Theb. 3,518> D U  aussi pour les Argonautes
<Stat. Theb. 5,373> et cf. Ach. 2,77 U Argonautes"	"Lavinia Milic"	"02 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.319.xml"	"si quis adhuc "	"72 si quis adhuc <Verg. Aen. 4,318-319> D"	"Lavinia Milic"	"02 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.319.xml"	"inclementia"	"73 inclementia <Verg. Aen. 2,602> D  R-S <Stat . Theb. 11,684> D"	"Lavinia Milic"	"02 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.319.xml"	"ordo deis"	"81 ordo deis <Stat. Theb. 2,169> D R-S U
<Verg. Aen. 5,707> <Ov. her. 1,101> U"	"Lavinia Milic"	"02 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.319.xml"	"quem"	"84 quem natum <Verg. Aen. 4,47> D R-S"	"Lavinia Milic"	"02 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.319.xml"	"sanguine "	"86-87 sanguine crassa <Stat. Theb. 9,257-258> D R-S U
<Verg. Aen. 5,806-808> R-S
<Stat. Theb. 9,429-437> R-S le fleuve Isménos
<Stat, Theb. 2,659> U
<Stat, Theb. 12,364> U"	"Lavinia Milic"	"03 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.319.xml"	"opera irrita, muros!"	"89 opera irrita muros <Ov. met. 12,587> D R-S U
<Stat, Theb. 1,699-700> U
<Ov. met. 11,194-215> U"	"Lavinia Milic"	"03 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.319.xml"	"tollere fluctus"	"92 tollere fluctus <Verg. Aen. 1,66> D R-S U <Verg. Aen. 1,103> D U"	"Lavinia Milic"	"03 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.321.xml"	"conubialia"	"101-102 conubialia antra <Ov. met. 11,229-237> D R-S description de l'antre où se consomme l'union de Thétis et Pélée"	"Lavinia Milic"	"03 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.315.xml"	"sequi "	"46 sequi <Verg. Aen. 7,300> R-S U un seul écho verbal mais les vv. 44-46 font allusion à Verg. Aen. 7,299-300 (Junon se plaint de ne pas avoir réussi à bloquer les Troyens, malgré les obstacles qu'elle a dressé contre eux)"	"Lavinia Milic"	"03 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.317.xml"	"Tethyos"	"49-50 Tethyos grandaevum patrem <Ov. met. 2,509-510> R-S U Tethys et Océan"	"Lavinia Milic"	"03 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.317.xml"	"her aged father"	"Je pense qu'il s'agit  plutôt du père de Thétis, Nérée (cf. forum Chamilo), malgré l'intertexte ovidien.
Cf. aussi Verg. georg. 4,392 (grandaevus Nereus) et Uccellini ad versum."	"Lavinia Milic"	"03 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.317.xml"	"supplex"	"50 supplex <Verg. Aen. 1,65> R-S U (Junon à Eole, même place métrique) <Verg. Aen. 1,666> U (Vénus qui demande à Cupidon d'aider Enée)"	"Lavinia Milic"	"03 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.317.xml"	"He was coming from Oceanus his hos"	"\"Stace a combiné ici deux motifs d'origine homérique: les festins des dieux (Poséidon ou Jupiter en particulier) chez les Ethiopiens (Od. I,  22; Il. I, 423) et le cortège de Neptune (Il. 13,23-31)\" R-S p. 161
Modèles directs indiqués ad v. "	"Lavinia Milic"	"03 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.317.xml"	"unde hiemes ventique silent"	"54 unde hiemes ventique silent <Verg. Aen. 1,135> <Verg. Aen. 1,54-156> <Verg. Aen. 5,820-821> R-S effet apaisant de Neptune"	"Lavinia Milic"	"03 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.317.xml"	"Tritones"	"55 Tritones <Verg. Aen. 5,824> R-S cortège de Neptune"	"Lavinia Milic"	"03 Mar 2015"
"STATIUS, Achilleid"	"/statius-achilleid/2004/pb_LCL498.317.xml"	" portans navigat"	"66-67 portans navigat <Verg. Aen. 1,67-68> R-S"	"Lavinia Milic"	"03 Mar 2015"
