# Tesserae V3 results
#
# session   = 00000006
# source    = statius.thebaid
# target    = statius.achilleid
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis in hic iam ille neque tu ego
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
31	"stat. ach. 1.38"	"et **volet** **ipse** sequi, quid enim cunabula **parvo**"	"stat. theb. 6.320"	"ille ibit, **minus** **ipse** **voles**.” sic ignea lora"	"uolo; ipse; paruus"	9.02
32	"stat. ach. 1.38"	"et **volet** **ipse** sequi, quid enim cunabula parvo"	"stat. theb. 8.203"	"**ipsi** amnes **ipsaeque** **volent** arescere laurus,"	"uolo; ipse"	10.07
33	"stat. ach. 1.40"	"illic, **ni** **fallor**, Lapitharum proelia ludit"	"stat. theb. 7.123"	"pendet: ubi iste fragor? **ni** **fallimur** aure. sed unde"	"ni; fallo"	9.83
34	"stat. ach. 1.40"	"illic, ni fallor, Lapitharum **proelia** **ludit**"	"stat. theb. 9.786"	"**proelia** **lude** domi: quodsi te maesta sepulcri"	"proelio-proelior-proelium; ludo"	9.80
35	"stat. ach. 1.43"	"non **potui** infelix, **cum** primum gurgite nostro"	"stat. theb. 1.63"	"interfusa iugo, **possem** **cum** degere falso"	"cum; possum"	9.55
36	"stat. ach. 1.43"	"non potui **infelix**, cum primum **gurgite** nostro"	"stat. theb. 9.314"	"**gurgitis** **infelixque** iugi concordia mergit."	"gurges; infelix"	9.55
37	"stat. ach. 1.43"	"**non** **potui** infelix, cum primum gurgite nostro"	"stat. theb. 11.170"	"nec **poteris**, **non** si atra parens miseraeque sorores"	"possum; non"	9.77
38	"stat. ach. 1.46"	"tempestate **sequi** **cunctasque** inferre sorores?"	"stat. theb. 7.435"	"praecipitant **cuncti** fluvio puduitque **secutos**."	"sequor; cunctus"	9.58
39	"stat. ach. 1.48"	"ibo tamen **pelagique** **deos** dextramque secundi,"	"stat. theb. 5.288"	"**dis** **pelagi** ventisque et Cycladas Aegaeoni"	"deus; pelagius-pelagus"	9.05
40	"stat. ach. 1.49"	"quod **superest**, complexa **Iovis** per Tethyos annos"	"stat. theb. 3.532"	"armigeras **summi** **Iovis** exsultante caterva"	"superus; iuppiter"	9.07
41	"stat. ach. 1.50"	"grandaevumque **patrem** supplex miseranda **rogabo**"	"stat. theb. 3.710"	"ei mihi! care **pater**, iterum fortasse **rogabo**.”"	"pater; rogo"	9.11
42	"stat. ach. 1.50"	"grandaevumque **patrem** **supplex** miseranda rogabo"	"stat. theb. 7.154"	"nec causae latuere **patrem** — , **supplexque** profatur:"	"supplex; pater-patro"	9.83
43	"stat. ach. 1.51"	"**unam** hiemem.” **dixit** magnumque in tempore regem"	"stat. theb. 12.79"	"templa **dicent**; **uni** fas sit lugere parenti,"	"dico; unus"	9.65
44	"stat. ach. 1.51"	"unam hiemem.” **dixit** **magnumque** in tempore regem"	"stat. theb. 12.219"	"Ornyte!” sic **dicens** **magno** Megareia praeceps"	"dico; magnus"	9.05
45	"stat. ach. 1.53"	"**laetus** et aequoreo **diffusus** nectare vultus —"	"stat. theb. 2.214"	"**Diffuderat** Argos exspectata dies: **laeto** regalia coetu"	"laetus; diffundo"	9.20
46	"stat. ach. 1.54"	"unde **hiemes** ventique silent **cantuque**, quieto"	"stat. theb. 5.112"	"tertia **canet** **hiemps**; cui conubialia vincla"	"hiems; cano"	9.00
47	"stat. ach. 1.54"	"unde **hiemes** **ventique** silent cantuque, quieto"	"stat. theb. 7.79"	"sponte **venis** **hiemesque** meas, cui roscida iuxta"	"hiemo-hiems; uenio"	9.10
48	"stat. ach. 1.55"	"**armigeri** Tritones **eunt** scopulosaque cete"	"stat. theb. 10.683"	"**armigeri** fessum excipiunt; tum vulgus **euntem**"	"armiger; eo"	9.12
49	"stat. ach. 1.56"	"**Tyrrhenique** greges **circumque** intraque rotantur"	"stat. theb. 3.650"	"et tua non umquam **Tyrrhenus** tempora **circum**"	"circum; tyrrhenus"	9.48
50	"stat. ach. 1.57"	"**rege** salutato; placidis **ipse** arduus undis"	"stat. theb. 4.80"	"conciliat; dederat nec non **ipse** **regendas**"	"rego; ipse"	9.33
51	"stat. ach. 1.58"	"**eminet** et triplici **telo** iubet ire iugales,"	"stat. theb. 8.717"	"fortunamque ferens, **teli** non **eminet** auctor:"	"telum; emineo"	9.08
52	"stat. ach. 1.58"	"eminet et triplici telo **iubet** **ire** iugales,"	"stat. theb. 10.81"	"orbibus accingi solitis **iubet** **Irin** et omne"	"eo-iris-irus; iubeo"	9.09
53	"stat. ach. 1.63"	"**aequor**? **eunt** tutis terrarum crimina velis,"	"stat. theb. 4.24"	"sic ubi forte viris longum super **aequor** **ituris**,"	"aequo-aequor; eo"	9.80
54	"stat. ach. 1.63"	"aequor? **eunt** tutis terrarum crimina **velis**,"	"stat. theb. 6.320"	"ille **ibit**, minus ipse **voles**.” sic ignea lora"	"uolo; eo"	9.14
55	"stat. ach. 1.63"	"**aequor**? **eunt** tutis terrarum crimina velis,"	"stat. theb. 6.432"	"Amphiaraus agit, quem Thessalus **aequat** **eundo**"	"aequo; eo"	9.98
56	"stat. ach. 1.68"	"eheu quos **gemitus** terris caeloque **daturus**,"	"stat. theb. 6.107"	"**dat** **gemitum** tellus: non sic eversa feruntur"	"gemitus-gemo; do"	9.01
57	"stat. ach. 1.68"	"eheu quos **gemitus** terris caeloque **daturus**,"	"stat. theb. 6.527"	"**dat** **gemitum** tellus et iam tunc saeva minatur."	"do; gemitus-gemo"	9.01
58	"stat. ach. 1.68"	"eheu quos gemitus **terris** caeloque **daturus**,"	"stat. theb. 10.633"	"rara **dari** **terrisque** solet contingere, virtus,"	"terra; do"	9.82
