# Tesserae V3 results
#
# session   = 00000004
# source    = ovid.elegies
# target    = statius.achilleid
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis sum ego tu in ille hic neque
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
26	"stat. ach. 1.17"	"**da** veniam ac trepidum **patere** hoc sudare parumper"	"ov. her.20.67"	"Invidiam **patiar**; **passo** sua praemia **dentur**. / Cur suus a tanto crimine fructus abest?"	"patior; do"	9.63
27	"stat. ach. 1.22"	"**plenaque** materni **referens** praesagia somni"	"ov. rem.179"	"Ecce, petunt rupes praeruptaque saxa capellae: / Iam **referent** haedis ubera **plena** suis;"	"refero; plenum-plenus"	9.34
28	"stat. ach. 1.22"	"**plenaque** materni **referens** praesagia somni"	"ov. ars.3.499"	"Si licet a parvis animum ad maiora **referre**, / **Plenaque** curvato pandere vela sinu,"	"refero; plenum-plenus"	9.22
29	"stat. ach. 1.25"	"**cum** Thetis **Idaeos** — heu numquam vana parentum"	"ov. her.19.177"	"Ut semel **Idaeus** Lacedaemona venit adulter, / **Cum** praeda rediit protinus ille sua. "	"idaeus; cum"	9.06
30	"stat. ach. 1.28"	"prosiluit **thalamis**: fervent **coeuntia** Phrixi"	"ov. her.7.123"	"Mille procis placui, qui me **coiere** querentes / Nescio quem **thalamis** praeposuisse suis."	"coeo; thalamus"	9.27
31	"stat. ach. 1.31"	"“me **petit** haec, mihi **classis**,” ait, “funesta minatur,"	"ov. her.1.5"	"O utinam tum, cum Lacedaemona **classe** **petebat**, / Obrutus insanis esset adulter aquis!"	"peto; classis"	9.13
32	"stat. ach. 1.32"	"agnosco monitus et Protea **vera** **locutum**,"	"ov. her.16.59"	"Ecce! pedum pulsu visa est mihi terra moveri ---  / **Vera** **loquar** **veri** vix habitura fidem ---  "	"uero-uerum-uerus; uerum-uerus; loquor"	9.37
33	"stat. ach. 1.33"	"ecce **novam** Priamo facibus **de** puppe levatis"	"ov. her.13.99"	"Hoc quoque praemoneo: **de** nave **novissimus** exi; / Non est, quo properas, terra paterna tibi."	"de; nouus"	9.21
34	"stat. ach. 1.34"	"**fert** Bellona nurum: **video** iam mille carinis"	"ov. am.3.5.19"	"**Visus** erat, somno vires adimente **ferendi**, / Cornigerum terra deposuisse caput."	"fero; uideo"	9.14
35	"stat. ach. 1.34"	"**fert** Bellona nurum: **video** iam mille carinis"	"ov. her.20.89"	"Ipsa tibi dices, ubi **videris** omnia **ferri**: / 'Tam bene qui servit, serviat iste mihi!'"	"fero; uideo"	9.60
36	"stat. ach. 1.37"	"iam pelago terrisque **meus** **quaeretur** Achilles,"	"ov. am.3.1.5"	"Hic ego dum spatior tectus nemoralibus umbris ---  / Quod **mea**, **quaerebam**, Musa moveret opus --- "	"meus; quaero"	9.79
37	"stat. ach. 1.37"	"iam **pelago** **terrisque** meus quaeretur Achilles,"	"ov. her.4.5"	"His arcana notis **terra** **pelagoque** feruntur. / Inspicit acceptas hostis ab hoste notas."	"pelagus; terra"	9.23
38	"stat. ach. 1.37"	"iam pelago **terrisque** meus **quaeretur** Achilles,"	"ov. her.7.13"	"Facta fugis, facienda petis; **quaerenda** per orbem / Altera, **quaesita** est altera **terra** tibi. "	"quaero; terra"	9.18
39	"stat. ach. 1.37"	"iam pelago terrisque **meus** **quaeretur** Achilles,"	"ov. her.16.241"	"A, quotiens lacrimis venientibus ora reflexi, / Ne causam fletus **quaereret** ille **mei**!"	"meus; quaero"	9.58
40	"stat. ach. 1.38"	"et **volet** ipse sequi, quid enim cunabula **parvo**"	"ov. ars.2.69"	"Iamque **volaturus** **parvo** dedit oscula nato, / Nec patriae lacrimas continuere genae."	"uolo; paruus"	9.19
41	"stat. ach. 1.40"	"illic, ni fallor, Lapitharum **proelia** **ludit**"	"ov. ars.3.357"	"Cautaque non stulte latronum **proelia** **ludat**, / Unus cum gemino calculus hoste perit, "	"ludo; proelio-proelior-proelium"	9.34
42	"stat. ach. 1.40"	"illic, ni **fallor**, Lapitharum proelia **ludit**"	"ov. her.17.45"	"Matris in admisso **falsa** sub imagine **lusae** / Error inest; pluma tectus adulter erat."	"fallo; ludo"	9.24
43	"stat. ach. 1.41"	"improbus et **patria** **iam** se metitur in hasta,"	"ov. her.3.67"	"Si tibi **iam** reditusque placent **patriique** Penates, / Non ego sum classi sarcina magna tuae."	"patrium-patrius; iam"	9.28
44	"stat. ach. 1.43"	"**non** **potui** infelix, cum primum **gurgite** nostro"	"ov. am.3.6.41"	"Fertur in Euanthe collectam Asopide flammam / Vincere **gurgitibus** **non** **potuisse** suis."	"gurges; possum; non"	9.29
45	"stat. ach. 1.43"	"**non** **potui** infelix, cum primum gurgite nostro"	"ov. am.3.11b.35"	"Odero, si **potero**; si **non**, invitus amabo. / Nec iuga taurus amat; quae tamen odit, habet."	"non; possum"	9.53
46	"stat. ach. 1.44"	"Rhoeteae **cecidere** **trabes**, attollere magnum"	"ov. her.5.41"	"**Caesa** abies, sectaeque **trabes**, et classe parata / Caerula ceratas accipit unda rates."	"trabs; caedo"	9.33
47	"stat. ach. 1.47"	"**nunc** quoque — sed **tardum**, iam plena iniuria raptae,"	"ov. rem.115"	"Qui modo nascentes properabam pellere morbos, / Admoveo **tardam** **nunc** tibi lentus opem."	"nunc; tardus"	9.36
