# Tesserae V3 results
#
# session   = 00000075
# source    = ovid.elegies
# target    = statius.achilleid.part.7.1,560-674
# unit      = line
# feature   = stem
# stopsize  = 10
# stbasis   = both
# stopwords = et qui quis sum ego tu in ille hic neque
# max_dist  = 10
# dibasis   = freq
# cutoff    = 9
# filter    = off

"RESULT"	"TARGET_LOC"	"TARGET_TXT"	"SOURCE_LOC"	"SOURCE_TXT"	"SHARED"	"SCORE"
27	"stat. ach. 1.584"	"quodque fugit **comites**, **nimio** quod lumine sese"	"ov. ars.1.127"	"Siqua repugnarat **nimium** **comitemque** negabat, / Sublatam cupido vir tulit ipse sinu,"	"comes-comito; nimium-nimius"	9.74
28	"stat. ach. 1.584"	"**quodque** **fugit** comites, nimio **quod** lumine sese"	"ov. her.2.47"	"Remigiumque dedi, **quod** me **fugiturus** haberes. / Heu! patior telis vulnera facta meis!"	"fugio; quod"	9.59
29	"stat. ach. 1.584"	"quodque **fugit** **comites**, nimio quod lumine sese"	"ov. her.14.105"	"Inachi, quo properas? eadem sequerisque **fugisque**; / Tu tibi dux **comiti**, tu **comes** ipsa duci."	"fugio; comes"	9.84
30	"stat. ach. 1.585"	"**Agat** et in **verbis** intempestivus anhelet,"	"ov. am.2.5.19"	"Sermonem agnovi, quod non videatur, **agentem** / **Verbaque** pro certis iussa valere notis."	"uerbum; ago"	9.53
31	"stat. ach. 1.585"	"**Agat** et in **verbis** intempestivus anhelet,"	"ov. her.20.27"	"Te mihi conpositis --- siquid tamen **egimus** --- a me / Adstrinxit **verbis** ingeniosus Amor."	"uerbum; ago"	9.02
32	"stat. ach. 1.587"	"virginea levitate **fugit** prohibetque **fateri**,"	"ov. ars.2.555"	"Sed melius nescisse fuit: sine furta tegantur, / Ne **fugiat** ficto **fassus** ab ore pudor."	"fateor; fugio"	9.32
33	"stat. ach. 1.589"	"oscula securae **dabat** insidiosa **sorori**"	"ov. am.1.3.17"	"Tecum, quos **dederint** annos mihi fila **sororum**, / Vivere contingat teque dolente mori!"	"soror; do"	9.45
34	"stat. ach. 1.589"	"**oscula** securae **dabat** insidiosa sorori"	"ov. her.19.167"	"At nos diversi medium coeamus in aequor / Obviaque in summis **oscula** **demus** aquis,"	"do; osculo-osculum"	9.51
35	"stat. ach. 1.594"	"**stabat** et admissum caelo **nemus**: huius in umbra"	"ov. ars.1.519"	"Et nihil emineant, et sint sine sordibus ungues: / Inque cava nullus **stet** tibi **nare** pilus."	"sto; no"	9.24
36	"stat. ach. 1.594"	"**stabat** et admissum caelo **nemus**: huius in umbra"	"ov. ars.3.263"	"Si brevis es, sedeas, **ne** **stans** videare sedere: / Inque tuo iaceas quantulacumque toro;"	"neo; sto"	9.17
37	"stat. ach. 1.595"	"alternam renovare **piae** trieterida **matres**"	"ov. her.15.153"	"Sola virum non ulta **pie** maestissima **mater** / Concinit Ismarium Daulias ales Ityn."	"mater; pius"	9.41
38	"stat. ach. 1.600"	"nec satis est: **stat** fine **dato** metuenda sacerdos"	"ov. am.1.2.25"	"Inque **dato** curru, populo clamante triumphum, / **Stabis** et adiunctas arte movebis aves."	"sto; do"	9.05
39	"stat. ach. 1.600"	"nec satis est: **stat** fine **dato** metuenda sacerdos"	"ov. am.3.6.11"	"Si tamen hic **standum** est, si non **datur** artibus ullis / Ulterior nostro ripa premenda pedi?"	"sto; do"	9.19
40	"stat. ach. 1.602"	"agmine femineo, tacitus **sibi** **risit** Achilles,"	"ov. rem.501"	"Deceptum **risi**, qui **se** simularat amare, / In laqueos auceps decideratque suos. "	"sui; rideo"	9.54
41	"stat. ach. 1.602"	"agmine **femineo**, tacitus sibi **risit** Achilles,"	"ov. ars.3.285"	"Nec sua perpetuo contendant ilia **risu**, / Sed leve nescio quid **femineumque** sonent."	"femineus; rideo"	9.21
42	"stat. ach. 1.602"	"agmine femineo, **tacitus** **sibi** risit Achilles,"	"ov. her.4.51"	"Namque mihi referunt, cum **se** furor ille remisit, / Omnia; me **tacitam** conscius urit amor."	"sui; taceo-tacitus"	9.01
43	"stat. ach. 1.604"	"magnaque **difficili** solventem bracchia **motu** —"	"ov. am.1.6.1"	"Ianitor --- indignum! --- dura religate catena, / **Difficilem** **moto** cardine pande forem!"	"difficilis; moueo"	9.38
44	"stat. ach. 1.604"	"magnaque difficili solventem **bracchia** **motu** —"	"ov. ars.3.349"	"Quis dubitet, quin scire velim saltare puellam, / Ut **moveat** posito **brachia** iussa mero?"	"bracchium; moueo"	9.06
45	"stat. ach. 1.604"	"magnaque difficili solventem **bracchia** **motu** —"	"ov. her.10.11"	"Nullus erat! referoque manus iterumque retempto, / Perque torum **moveo** **bracchia** --- nullus erat!"	"bracchium; moueo"	9.74
46	"stat. ach. 1.608"	"vincitur Aeacide, quantum **premit** **ipsa** sorores."	"ov. am.1.4.15"	"Cum **premet** ille torum, vultu comes **ipsa** modesto / Ibis, ut accumbas --- clam mihi tange pedem!"	"ipse; premo"	9.02
47	"stat. ach. 1.608"	"vincitur Aeacide, **quantum** premit **ipsa** sorores."	"ov. am.1.10.31"	"Et vendit quod utrumque iuvat quod uterque petebat, / Et pretium, **quanti** gaudeat **ipsa**, facit."	"quantus; ipse"	9.28
48	"stat. ach. 1.608"	"vincitur Aeacide, quantum **premit** ipsa **sorores**."	"ov. ars.3.11"	"Si minor Atrides Helenen, Helenesque **sororem** / Quo **premat** Atrides crimine maior habet,"	"soror; premo"	9.05
49	"stat. ach. 1.608"	"**vincitur** Aeacide, quantum **premit** ipsa sorores."	"ov. ars.3.647"	"Sunt quoque, quae faciant altos medicamina somnos, / **Victaque** Lethaea lumina nocte **premant**;"	"uinco; premo"	9.58
50	"stat. ach. 1.609"	"**ut** **vero** e tereti demisit nebrida collo"	"ov. am.2.2.31"	"Huic, **verae** **ut** lateant causae, finguntur inanes; / Atque ambo domini, quod probat una, probant."	"uerus; ut"	9.68
51	"stat. ach. 1.609"	"**ut** vero e tereti **demisit** nebrida collo"	"ov. am.3.9.9"	"Adspice, **demissis** **ut** eat miserabilis alis / Pectoraque infesta tundat aperta manu!"	"demitto; ut"	9.20
52	"stat. ach. 1.610"	"errantesque sinus hedera **collegit** et **alte**"	"ov. am.2.10.13"	"Quid folia arboribus, quid pleno sidera caelo, / In freta **collectas** **alta** quid addis aquas?"	"alo-altum-altus; colligo"	9.67
53	"stat. ach. 1.611"	"**cinxit** purpureis **flaventia** **tempora** vittis"	"ov. am.1.1.29"	"**Cingere** litorea **flaventia** **tempora** myrto, / Musa, per undenos emodulanda pedes!"	"cingo; flaueo; tempus"	10.06
54	"stat. ach. 1.613"	"attonito **stat** **turba** metu sacrisque relictis"	"ov. her.10.125"	"Ibis Cecropios portus patriaque receptus, / Cum **steteris** **turbae** celsus in ore tuae"	"sto; turba"	9.87
55	"stat. ach. 1.613"	"attonito stat turba metu **sacrisque** **relictis**"	"ov. her.12.167"	"Ipsi me cantus herbaeque artesque **relinquunt**; / Nil dea, nil Hecates **sacra** potentis agunt."	"relinquo; sacer-sacrum"	9.19
56	"stat. ach. 1.617"	"**serta** **comis** mitramque levat thyrsumque virentem"	"ov. am.3.10.35"	"Diva potens frugum silvis cessabat in altis; / Deciderant longae spicea **serta** **comae**."	"come; sero-serta-sertacampanica"	9.28
57	"stat. ach. 1.620"	"Luna iugo, totis ubi **somnus** **inertior** alis"	"ov. am.2.10.19"	"At mihi saevus amor **somnos** abrumpat **inertes**, / Simque mei lecti non ego solus onus!"	"somnus; iners"	9.01
58	"stat. ach. 1.620"	"Luna iugo, totis ubi **somnus** inertior **alis**"	"ov. ars.3.647"	"Sunt quoque, quae faciant **altos** medicamina **somnos**, / Victaque Lethaea lumina nocte premant;"	"alo; somnus"	9.52
59	"stat. ach. 1.620"	"Luna iugo, totis **ubi** somnus inertior **alis**"	"ov. her.4.149"	"Non ego dedignor supplex humilisque precari. / Heu! **ubi** nunc fastus **altaque** verba iacent?"	"alo; ubi-ubius"	9.08
60	"stat. ach. 1.620"	"Luna iugo, totis ubi **somnus** **inertior** alis"	"ov. her.10.111"	"Crudeles **somni**, quid me tenuistis **inertem**? / Aut semel aeterna nocte premenda fui."	"somnus; iners"	9.38
61	"stat. ach. 1.620"	"Luna iugo, totis ubi **somnus** inertior **alis**"	"ov. her.14.33"	"Iamque cibo vinoque graves **somnoque** iacebant, / Securumque quies **alta** per Argos erat --- "	"alo; somnus"	9.20
62	"stat. ach. 1.620"	"Luna iugo, totis ubi **somnus** **inertior** alis"	"ov. her.14.75"	"Territus exsurgis; fugit omnis **inertia** **somni**; / Adspicis in timida fortia tela manu."	"somnus; iners"	9.47
63	"stat. ach. 1.623"	"**aera** tacent, tenero **cum** solus ab agmine Achilles"	"ov. am.3.8.37"	"**Aeraque** et argentum **cumque** auro pondera ferri / Manibus admorat, nullaque massa fuit."	"aera; cum"	9.04
